numero_registro;sector;tipo;subtipo;denominacion;plazas_autorizadas_numero;municipio_codigo;municipio_nombre;direccion_via_tipo;direccion_via_codigo;direccion_via_nombre;direccion_portal;direccion_codigo_postal;direccion_mancomunidad;direccion_area;direccion_distrito;direccion_demarcacion;direccion_zonass;direccion_coor_y;direccion_coor_x;contacto_telefono;contacto_correo;entidad_denominacion;entidad_nif;entidad_naturaleza;tipo_gestion
C1432;Personas mayores;CENTROS DE DÍA;HOGARES Y CLUBES;HOGAR DEL PENSIONISTA AYUNTAMIENTO DE VILLA DEL PRADO;120;171;Villa del Prado;PLAZA;00394;de Santiago;S/N;28630;MANCOMUNIDAD LOS PINARES;Oeste;Suroeste;San Martín de Valdeiglesias;Villa del Prado;;;918620311;alcaldia@villadelprado.es;AYUNTAMIENTO DE VILLA DEL PRADO;P2817100G;PÚBLICA;PRIVADA TOTAL
C1436;Personas mayores;CENTROS DE DÍA;HOGARES Y CLUBES;HOGAR DE PERSONAS MAYORES DE VALDEMORILLO;45;160;Valdemorillo;CALLE;00440;Unión;15;28210;MANCOMUNIDAD SIERRA OESTE;Oeste;Noroeste;San Lorenzo de El Escorial;San Lorenzo de El Escorial;4483992;409589;918977276 / 63358458;mayoresdevaldemorillo@gmail.com;AYUNTAMIENTO DE VALDEMORILLO;P2816000J;PÚBLICA;PRIVADA TOTAL
C1437;Personas mayores;CENTROS DE DÍA;HOGARES Y CLUBES;CENTRO PERSONAS MAYORES SAN MIGUEL;20;095;Navalagamella;CALLE;A0022;la Cuesta;1;28212;MANCOMUNIDAD SIERRA OESTE;Oeste;Noroeste;San Lorenzo de El Escorial;Robledo de Chavela;4480398;404717;91 898 80 08;alcaldia@aytonavalagamella.es;AYUNTAMIENTO DE NAVALAGAMELLA;P2809500H;PÚBLICA;PRIVADA TOTAL
C1438;Personas con discapacidad intelectual;CENTROS RESIDENCIALES;PISOS TUTELADOS;PISO TUTELADO RENACER 5;5;079;Madrid;CALLE;06499;de Yerós;23;28029;;Madrid capital;Tetuán;Tetuán 2;Almenara;4480304;440697;91 554 36 37/ 91 554 74 43;fundacion-ser@fundacion-ser.org;FUNDACION SER;G82725516;PRIVADA SIN ÁNIMO DE LUCRO;PRIVADA CON PLAZAS CONCERTADAS
C1439;Personas con discapacidad intelectual;CENTROS RESIDENCIALES;PISOS TUTELADOS;PISO TUTELADO RENACER 2;5;079;Madrid;CALLE;04473;de Pablo Montesinos;2;28019;;Madrid capital;Carabanchel;Carabanchel 1;San Isidro;4472252;439133;91 554 36 37 / 91 554 74 43;fundacion-ser@fundacion-ser.org;FUNDACION SER;G82725516;PRIVADA SIN ÁNIMO DE LUCRO;PRIVADA CON PLAZAS CONCERTADAS
C1457;Personas mayores;CENTROS DE DÍA;CENTROS DE DÍA: OTROS;PINAR DE ARAVACA, CENTRO DE DIA;10;079;Madrid;CALLE;07511;de Camarines;2;28023;;Madrid capital;Moncloa-Aravaca;Moncloa;Aravaca;4479236;434754;91 307 07 07;direccion@pinardearavaca.es;SERVICIOS INTEGRALES DE ATENCIÓN GERIÁTRICA, S.L.;B84192269;PRIVADA CON ÁNIMO DE LUCRO;PRIVADA TOTAL
C1465;Personas mayores;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES;AVENIDA SAN LUIS, RESIDENCIA PERSONAS MAYORES;99;079;Madrid;CALLE;06095;de Totana;10;28033;;Madrid capital;Hortaleza;Hortaleza;Pinar del Rey;4480422;444575;913822092;direccionsanluis@grupovillamor.com;NIBUR 2000, S.A.;A81431801;PRIVADA CON ÁNIMO DE LUCRO;PRIVADA + PEVS
C1466;Personas mayores;CENTROS DE DÍA;HOGARES Y CLUBES;SAN ANTONIO, C.D. Y CLUB ANCIANOS;38;079;Madrid;CALLE;03009;JAEN;8;28020;;Madrid capital;Tetuán;Tetuán 1;Cuatro Caminos;4477986;440436;915348120;gestion@sercade.org;ASOCIACION SERVICIO CAPUCHINO PARA EL DESARROLLO Y LA SOLIDARIDAD - SERCADE;G82192287;PRIVADA SIN ÁNIMO DE LUCRO;PRIVADA TOTAL
C1468;Personas mayores;CENTROS DE DÍA;CENTROS DE DÍA: OTROS;CENTRO DE DIA AVENIDA SAN LUIS;19;079;Madrid;CALLE;06095;de Totana;10;28033;;Madrid capital;Hortaleza;Hortaleza;Pinar del Rey;4480422;444575;91 763 06 14;irenenieto@avenidasanluis.com;NIBUR 2000, S.A.;A81431801;PRIVADA CON ÁNIMO DE LUCRO;PRIVADA + PEVS
C1477;Personas con enfermedad mental crónica;CENTROS RESIDENCIALES;OTRAS RESIDENCIAS;RESIDENCIA CARABANCHEL;24;079;Madrid;CALLE;02524;del General Ricardos;177;28025;;Madrid capital;Carabanchel;Carabanchel 2;Puerta Bonita;4470772;437495;914618274;laura.diaz@fundacionhospitalarias.org;COMUNIDAD DE MADRID (CONSEJERIA DE FAMILIA, JUVENTUD Y ASUNTOS SOCIALES);S7800001E;PÚBLICA;PROPIA DE GESTIÓN INDIRECTA
C1490;Personas mayores;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES MIXTA;GERIASA (MADRID), RESIDENCIA PERSONAS MAYORES;185;079;Madrid;CALLE;01736;del Doctor Esquerdo;63;28007;;Madrid capital;Retiro;Retiro;Estrella;4474539;443258;915572230/ 696143320(noches);direccion-madrid@geriasa.es;GERIATRIA Y SANIDAD, S.A. (GERIASA);A28770659;PRIVADA CON ÁNIMO DE LUCRO;PRIVADA + PEVS
C1502;Personas con discapacidad intelectual;CENTROS RESIDENCIALES;VIVIENDAS COMUNITARIAS;VIVIENDAS COMUNITARIAS ADEMO;12;014;Arganda del Rey;CALLE;A0174;Grupo Escolar;19;28500;;Este;Sureste;Arganda del Rey;Zona 1;4461445;462904;"91 871 37 07;636378304;615899469";viviendas@fundacionademo.org;FUNDACION RAILES;G67887000;PRIVADA SIN ÁNIMO DE LUCRO;PRIVADA CON PLAZAS CONCERTADAS
C1507;Personas mayores;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES;MIRAFLORES II, RESIDENCIA DE PERSONAS MAYORES;72;079;Madrid;CALLE;06162;de Ulises;44;28043;;Madrid capital;Hortaleza;Hortaleza;Canillas;4478774;444705;913004442;info@centrogeriatricomiraflores.com;PROYECTO ARSO, S.A.;A80912827;PRIVADA CON ÁNIMO DE LUCRO;PRIVADA + PEVS
C1529;Personas mayores;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES;MADRID-ORCASUR, RESIDENCIA DE PERSONAS MAYORES;64;079;Madrid;CALLE;11135;de Salobreña;2;28041;;Madrid capital;Usera;Usera;Orcasur;4468649;440637;"91 369 92 34;91 462 69 32;672 32 89 53";direccion.crm.orcasur@sanivida.es;COMUNIDAD DE MADRID (CONSEJERIA DE FAMILIA, JUVENTUD Y ASUNTOS SOCIALES);S7800001E;PÚBLICA;PROPIA DE GESTIÓN INDIRECTA
C1544;Personas mayores;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES;C.A. BENITO MENNI, RESIDENCIA DE PERSONAS MAYORES;208;040;Ciempozuelos;CALLE;A0083;de los Jardines;1;28350;MANCOMUNIDAD LAS VEGAS;Este;Sureste;Las Vegas;Ciempozuelos;4445277;447244;918930150 628557559;mariadelcarmen.feliz@fundacionhospitalarias.org;FUNDACION HOSPITALARIAS;R2802790B;PRIVADA SIN ÁNIMO DE LUCRO;PRIVADA CON PLAZAS CONCERTADAS
C1547;Personas mayores;CENTROS DE DÍA;CENTROS DE DÍA: OTROS;BOUCO MADRID CARABANCHEL, CENTRO DE DIA;50;079;Madrid;CALLE;04345;de Nuestra Señora de la Luz;74;28047;;Madrid capital;Carabanchel;Carabanchel 2;Vista Alegre;4470783;436444;914220880;direccion.carabanchel@emeis.com;RESIDENCIAL SENIOR 2000 S.L.U.;B82572413;PRIVADA CON ÁNIMO DE LUCRO;PRIVADA CON PLAZAS CONCERTADAS + PEVS
C1548;Personas mayores;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES;BOUCO MADRID CARABANCHEL, RESIDENCIA DE PERSONAS MAYORES;160;079;Madrid;CALLE;04345;de Nuestra Señora de la Luz;74;28047;;Madrid capital;Carabanchel;Carabanchel 2;Vista Alegre;4470783;436444;914220880 / 620882301;direccion.carabanchel@emeis.com;RESIDENCIAL SENIOR 2000 S.L.U.;B82572413;PRIVADA CON ÁNIMO DE LUCRO;PRIVADA + PEVS
C1549;Personas con discapacidad intelectual;CENTROS OCUPACIONALES;CENTROS OCUPACIONALES GENÉRICOS;CENTRO OCUPACIONAL MUNICIPAL DE LEGANES;60;074;Leganés;CALLE;A0489;del Sufragio;2;28914;;Sur;Leganés;Leganés I;Vírgenes/Vereda de Estudiantes;4463724;435377;916932083.;sergio.gonzalez@grupoamas.org;AYUNTAMIENTO DE LEGANES;P2807400C;PÚBLICA;PRIVADA CON PLAZAS CONCERTADAS
C1551;Personas mayores;CENTROS DE DÍA;CENTROS DE DÍA: OTROS;CENTRO DE DIA PERSONAS MAYORES Y COLECTIVOS PARA EVITAR EXCLUSION;36;088;Montejo de la Sierra;CALLE;00048;de las Cruces;2;28190;MANCOMUNIDAD SIERRA NORTE;Norte;Sierra;Sierra Norte;Buitrago de Lozoya;4545570;455544;91 869 72 80;ayuntamiento.montejodelasierra@gmail.com;AYUNTAMIENTO DE MONTEJO DE LA SIERRA;P2808800C;PÚBLICA;PRIVADA CON PLAZAS CONCERTADAS
C1556;Personas con discapacidad intelectual;CENTROS OCUPACIONALES;CENTROS OCUPACIONALES GENÉRICOS;REGORDOÑO, CENTRO OCUPACIONAL;75;092;Móstoles;CALLE;A0367;Torres Quevedo;11;28936;;Oeste;Móstoles;Móstoles II;Móstoles II (E);4463354;428062;916469625;yolanda.tamayo@fundacion-amas.org;FUNDACION AMAS SOCIAL;G83160416;PRIVADA SIN ÁNIMO DE LUCRO;PRIVADA CON PLAZAS CONCERTADAS + PEVS
C1557;Personas mayores;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES MIXTA;HERMANITAS ANCIANOS DESAMPARADOS, RESIDENCIA DE PERSONAS MAYORES;49;079;Madrid;CALLE;03358;de Lagasca;17;28001;;Madrid capital;Salamanca;Salamanca 2;Recoletos;4474916;441823;91 431 62 01;tsocialmadrid@hhaadd.org;HOGAR DE ANCIANOS LAGASCA 17 HERMANITAS DE LOS ANCIANOS DESAMPARADOS PROV DE SANTA MARTA;R2800989B;PRIVADA SIN ÁNIMO DE LUCRO;PRIVADA + PEVS
C1559;Personas con discapacidad intelectual;CENTROS OCUPACIONALES;TALLERES;VILLA DE PARLA, CENTRO OCUPACIONAL;100;106;Parla;AVDA;10013;de América;47;28982;;Sur;Medio-Sur;Parla;Sur;4453157;434761;912013541;"alcaldia@ayuntamientoparla.es;eggarcia@ayuntamientoparla.es";AYUNTAMIENTO DE PARLA;P2810600C;PÚBLICA;PRIVADA CON PLAZAS CONCERTADAS
C1568;Personas mayores;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES;GERONTOS, RESIDENCIA DE PERSONAS MAYORES;23;169;Venturada;AVDA;00070;de Madrid;1;28729;MANCOMUNIDAD SIERRA NORTE;Norte;Sierra;Sierra Norte;Bustarviejo;4516714;447223;91 843 94 90;gerontos@msn.com;A.S.H. GERONTOS, S.L.;B81736449;PRIVADA CON ÁNIMO DE LUCRO;PRIVADA + PEVS
C1569;Personas con discapacidad intelectual;CENTROS RESIDENCIALES;OTRAS RESIDENCIAS;LOS PINOS, OTRAS RESiDENCIAS;49;074;Leganés;AVDA;A0323;de los Pinos;28;28914;;Sur;Leganés;Leganés I;Vírgenes/Vereda de Estudiantes;4463690;434019;91 689 49 26;"sara.serrano@fundacion-amas.org;fernando.sanchez@fundacion-amas.org";FUNDACION AMAS SOCIAL;G83160416;PRIVADA SIN ÁNIMO DE LUCRO;PRIVADA CON PLAZAS CONCERTADAS
C1571;Personas mayores;CENTROS DE DÍA;CENTROS DE DÍA: OTROS;COLISEE VILLANUEVA DEL PARDILLO. CENTRO DE DÍA PERSONAS MAYORES;30;177;Villanueva del Pardillo;AVDA;00244;de los Estudiantes;3;28229;MANCOMUNIDAD LA ENCINA;Oeste;Suroeste;Villaviciosa de Odón;Villanueva de la Cañada;4481796;417596;91 815 44 70;"dmvpardillo@colisee.es;pardillo@colisee.es";LA SALETA CARE, S.L.;B96648563;PRIVADA CON ÁNIMO DE LUCRO;PRIVADA TOTAL
C1572;Personas mayores;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES;COLISEE VILLANUEVA DEL PARDILLO, RESIDENCIA DE PERSONAS MAYORES;122;177;Villanueva del Pardillo;AVDA;00244;de los Estudiantes;3;28229;MANCOMUNIDAD LA ENCINA;Oeste;Suroeste;Villaviciosa de Odón;Villanueva de la Cañada;4481796;417596;91 815 44 70;"dmvpardillo@colisee.es;pardillo@colisee.es";LA SALETA CARE, S.L.;B96648563;PRIVADA CON ÁNIMO DE LUCRO;PRIVADA CON PLAZAS CONCERTADAS + PEVS
C1573;Personas mayores;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES;MUNICIPAL FUENLABRADA, RESIDENCIA DE PERSONAS MAYORES;63;058;Fuenlabrada;CALLE;A0516;Villa Elena;21;28942;;Sur;Fuenlabrada;Fuenlabrada (C);Fuenlabrada C (7);4460106;430913;916071243;"residenciamayores@ayto-fuenlabrada.es;nlopezg@arquisocial.es";AYUNTAMIENTO DE FUENLABRADA;P2805800F;PÚBLICA;PRIVADA CON PLAZAS CONCERTADAS + PEVS
C1576;Personas con discapacidad física;CENTROS EXPERIMENTALES O NO CLASIFICADOS;;PSICO-BALLET MAITE LEON;100;079;Madrid;CALLE;06478;del Vizconde de los Asilos;5;28027;;Madrid capital;Ciudad Lineal;Ciudad Lineal 2;Quintana;4476862;445870;917422320;psicoballet@psicoballetmaiteleon.org;"FUNDACION ""PSICO-BALLET MAITE LEON""";G78392941;PRIVADA SIN ÁNIMO DE LUCRO;PRIVADA + PEVS
C1578;Personas con discapacidad intelectual;CENTROS RESIDENCIALES;OTRAS RESIDENCIAS;SAN MARTIN DE PORRES, CENTRO RESIDENCIAL;21;079;Madrid;CALLE;06489;de Walman;17;28023;;Madrid capital;Moncloa-Aravaca;Moncloa;El Plantío;4480475;430142;913077042;centrosmporres@gmail.com;ALICIA ALMAZAN RUIZ;;PRIVADA CON ÁNIMO DE LUCRO;PRIVADA CON PLAZAS CONCERTADAS
C1582;Personas mayores;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES;DOMUSVI PARQUE COSLADA, RESIDENCIA DE PERSONAS MAYORES;142;049;Coslada;AVDA;A0182;de Manuel Azaña;5;28820;;Este;Centro-Este;Coslada;Valleagudo;4474472;453056;913306300 / 933065360;direccion.pcoslada@domusvi.es;QUAVITAE SERVICIOS ASISTENCIALES, S.A.U.;A80106842;PRIVADA CON ÁNIMO DE LUCRO;PRIVADA CON PLAZAS CONCERTADAS
C1584;Personas con discapacidad intelectual;CENTROS OCUPACIONALES;CENTROS OCUPACIONALES GENÉRICOS;CENTRO OCUPACIONAL DE DISMINUIDOS PSÍQUICOS CARLOS CASTILLA DEL PINO;103;007;Alcorcón;AVDA;02573;de Retamas;1;28922;;Oeste;Alcorcón;Cisneros;Cisneros IV;4465886;428826;91 643 15 19;direccion.cocastillapino@grupo5.net;AYUNTAMIENTO DE ALCORCON;P2800700C;PÚBLICA;PRIVADA CON PLAZAS CONCERTADAS
C1585;Personas mayores;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES;CERVANTES II, RESIDENCIA DE PERSONAS MAYORES;12;005;Alcalá de Henares;CALLE;A0359;José Caballero;3;28805;;Este;Medio-Este;Alcalá II: Campo Ángel-Chorrillo;Distrito 6;4482071;470361;91 883 06 05;"residenciacervantes@hotmail.com;osro225@gmail.com";RESIDENCIA CERVANTES, S.L.;B83262337;PRIVADA CON ÁNIMO DE LUCRO;PRIVADA + PEVS
C1586;Personas con discapacidad intelectual;CENTROS RESIDENCIALES;OTRAS RESIDENCIAS;MIGUEL MONTALVO, CENTRO RESIDENCIAL;62;002;Ajalvir;VIA;00187;Galiana;3;28864;MANCOMUNIDAD 2016;Norte;Nordeste;Páramos;Paracuellos del Jarama;4483906;459591;918843836;administracion@fundacioncamps.org;FUNDACION CENTRO DE ADULTOS MINUSVALIDOS PSIQUICOS (CAMPS);G78271178;PRIVADA SIN ÁNIMO DE LUCRO;PRIVADA CON PLAZAS CONCERTADAS + PEVS
C1587;Personas mayores;CENTROS DE DÍA;CENTROS DE DÍA: OTROS;DOMUSVI PARQUE COSLADA, CENTRO DE DIA;60;049;Coslada;AVDA;A0182;de Manuel Azaña;5;28820;;Este;Centro-Este;Coslada;Valleagudo;4474472;453056;916730100;direccion.pcoslada@domusvi.es;QUAVITAE SERVICIOS ASISTENCIALES, S.A.U.;A80106842;PRIVADA CON ÁNIMO DE LUCRO;PRIVADA CON PLAZAS CONCERTADAS + PEVS
C1588;Personas con discapacidad intelectual;CENTROS OCUPACIONALES;CENTROS OCUPACIONALES GENÉRICOS;MIGUEL MONTALVO, CENTRO OCUPACIONAL;60;002;Ajalvir;VIA;00187;Galiana;3;28864;MANCOMUNIDAD 2016;Norte;Nordeste;Páramos;Paracuellos del Jarama;4483906;459591;91 884 38 36;administracion@fundacioncamps.org;FUNDACION CENTRO DE ADULTOS MINUSVALIDOS PSIQUICOS (CAMPS);G78271178;PRIVADA SIN ÁNIMO DE LUCRO;PRIVADA CON PLAZAS CONCERTADAS + PEVS
C1591;Infancia;CENTROS DE REHABILITACIÓN;CENTROS DE ATENCIÓN;APADIS CENTRO DE ATENCION TEMPRANA;30;134;San Sebastián de los Reyes;AVDA;01742;de Castilla La Mancha;109;28701;;Norte;Nordeste;San Sebastián de los Reyes;UTS 3;4489829;445789;916544207;atenciontemprana@apadis.es;FUNDACIÓN APADIS;G02956423;PRIVADA SIN ÁNIMO DE LUCRO;PRIVADA CON PLAZAS CONCERTADAS
C1597;Personas con discapacidad intelectual;CENTROS OCUPACIONALES;CENTROS OCUPACIONALES GENÉRICOS;APROCOR I, TALLER CENTRO OCUPACIONAL;100;079;Madrid;CALLE;11925;de Esteban Palacios;12;28043;;Madrid capital;Hortaleza;Hortaleza;Pioveras;4478759;447237;91 759 84 57;"bgarcia@fundacionaprocor.com;ahoyos@fundacionaprocor.com";FUNDACION APROCOR;G81985558;PRIVADA SIN ÁNIMO DE LUCRO;PRIVADA CON PLAZAS CONCERTADAS
C1605;Personas mayores;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES;NUESTRA  SEÑORA DEL ROSARIO ( LA CABRERA), RESIDENCIA PERSONAS MAYORES;34;030;Cabrera, La;AVDA;00116;de la Cabrera;54;28751;MANCOMUNIDAD SIERRA NORTE;Norte;Sierra;Sierra Norte;Bustarviejo;4524027;448413;918688887;fayezchamseddin@yahoo.es;PAIVAN SERVICIOS GERIATRICOS S.L.;B82091893;PRIVADA CON ÁNIMO DE LUCRO;PRIVADA + PEVS
C1606;Personas mayores;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES;BEGON VISTA ALEGRE, RESIDENCIA DE PERSONAS MAYORES;104;079;Madrid;CALLE;06464;de Vista Alegre;4;28019;;Madrid capital;Carabanchel;Carabanchel 1;San Isidro;4471340;437933;91 472 0020;direccionva@begonresidencias.es;SERVICIOS GERIATRICOS YELES SL;B01867241;PRIVADA CON ÁNIMO DE LUCRO;PRIVADA CON PLAZAS CONCERTADAS + PEVS
C1611;Mujer;CENTROS DE DÍA;CENTROS DE DÍA: OTROS;AYAAN HIRSI ALI CENTRO DE DIA PARA MUJERES;59;079;Madrid;CALLE;00044;de la Aduana;9;28013;;Madrid capital;Centro;Centro 1;Sol;4474415;440452;915230644;c1ayaanhirsiali@madrid.org;COMUNIDAD DE MADRID (CONSEJERIA DE FAMILIA, JUVENTUD Y ASUNTOS SOCIALES);S7800001E;PÚBLICA;PROPIA DE GESTIÓN INDIRECTA
C1618;Personas con discapacidad física;CENTROS RESIDENCIALES;OTRAS RESIDENCIAS;COTTOLENGO DEL PADRE ALEGRE;90;009;Algete;CTRA;00343;de M-111 (Fuente el Saz-Paracuellos);15,8;28119;;Norte;Nordeste;Páramos;Algete;4493728;452575;91 629 08 94;Madrid@cottolengopalegre.org;CASA COMUNIDAD HERMANAS SERVIDORAS DE JESUS DEL COTTOLENGO DEL PADRE ALEGRE;R7900034E;PRIVADA SIN ÁNIMO DE LUCRO;PRIVADA + PEVS
C1619;Personas con discapacidad intelectual;CENTROS OCUPACIONALES;CENTROS OCUPACIONALES GENÉRICOS;CENTRO OCUPACIONAL ADEMO II;60;079;Madrid;CALLE;07514;del Camino de los Vinateros;59;28030;;Madrid capital;Moratalaz;Moratalaz;Media Legua;4473540;444628;680777091;cocupacional2@fundacionademo.org;FUNDACION RAILES;G67887000;PRIVADA SIN ÁNIMO DE LUCRO;PRIVADA CON PLAZAS CONCERTADAS
C1623;Personas mayores;CENTROS DE DÍA;CENTROS DE DÍA: OTROS;CASABLANCA EL PLANTIO, CENTRO DE DIA;39;079;Madrid;AVDA;06354;de la Victoria;74;28023;;Madrid capital;Moncloa-Aravaca;Moncloa;El Plantío;4480397;429946;626272830 - 91 372 81 02;"ifc@grupocasablanca.com;presidencia@dependenciapad.org";REPLAN, S.L.;B81166415;PRIVADA CON ÁNIMO DE LUCRO;PRIVADA CON PLAZAS CONCERTADAS
C1626;Personas con enfermedad mental crónica;CENTROS DE REHABILITACIÓN;CENTROS DE REHABILITACIÓN: OTROS;CENTRO DE REHABILITACION PSICOSOCIAL GETAFE;90;065;Getafe;CALLE;A0777;Zenobia Camprubi;8;28903;;Sur;Getafe;Centro Norte;Margaritas;4464034;438440;91 601 88 04 / 91 601 88 05;crpsgetafe@intress.org;COMUNIDAD DE MADRID (CONSEJERIA DE FAMILIA, JUVENTUD Y ASUNTOS SOCIALES);S7800001E;PÚBLICA;PROPIA DE GESTIÓN INDIRECTA
C1627;Personas con enfermedad mental crónica;CENTROS DE REHABILITACIÓN;CENTROS DE REHABILITACIÓN: OTROS;CENTRO DE REHABILITACION PSICOSOCIAL PEDRO ZEROLO;90;079;Madrid;PLAZA;06252;de Pedro Zerolo;7;28004;;Madrid capital;Centro;Centro 1;Justicia;4474743;440702;91 531 23 39;crps.pedrozerolo@intras.es;COMUNIDAD DE MADRID (CONSEJERIA DE FAMILIA, JUVENTUD Y ASUNTOS SOCIALES);S7800001E;PÚBLICA;PROPIA DE GESTIÓN INDIRECTA
C1628;Personas con enfermedad mental crónica;CENTROS DE REHABILITACIÓN;CENTROS DE REHABILITACIÓN: OTROS;CENTRO DE REHABILITACION LABORAL PEDRO ZEROLO;50;079;Madrid;PLAZA;06252;de Pedro Zerolo;7;28004;;Madrid capital;Centro;Centro 1;Justicia;4474743;440702;91 522 68 48;crl.pedrozerolo@intras.es;COMUNIDAD DE MADRID (CONSEJERIA DE FAMILIA, JUVENTUD Y ASUNTOS SOCIALES);S7800001E;PÚBLICA;PROPIA DE GESTIÓN INDIRECTA
C1629;Personas con discapacidad intelectual;CENTROS DE DÍA;CENTROS DE DÍA: OTROS;SAN ALFONSO, CENTRO DE DIA;321;079;Madrid;AVDA;09464;de Rafaela Ybarra;75;28026;;Madrid capital;Usera;Usera;Pradolongo;4469995;439611;"915696548;915691606";dir.cdsa@fundacionande.org;FUNDACION ANDE;G79812517;PRIVADA SIN ÁNIMO DE LUCRO;PRIVADA CON PLAZAS CONCERTADAS
C1631;Adolescencia;CENTROS RESIDENCIALES;OTRAS RESIDENCIAS;HOGAR DEL BUEN CONSEJO;50;115;Pozuelo de Alarcón;PASEO;A0182;Concepción;12;28224;;Oeste;Noroeste;Pozuelo de Alarcón;Pozuelo: Estación I;4478082;431880;913528706;RIBUENCONSEJOPOZUELO@FBCONSEJO.ORG;CONGREGACION FRANCISCANAS DE NUESTRA SEÑORA DEL BUEN CONSEJO - COLEGIO HOGAR DEL BUEN CONSEJO;R7800188J;PRIVADA SIN ÁNIMO DE LUCRO;PRIVADA CON PLAZAS CONCERTADAS
C1635;Personas mayores;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES;MUNICIPAL NAVALCARNERO (VIRGEN DE LA CONCEPCIÓN), RESIDENCIA DE PERSONAS MAYORES;78;096;Navalcarnero;PLAZA;A0016;de Buenavista;29;28600;;Oeste;Suroeste;Navalcarnero;Navalcarnero (A);;;91 819 65 63;direccion.nv@geronsa.es;AYUNTAMIENTO DE NAVALCARNERO;P2809600F;PÚBLICA;PRIVADA CON PLAZAS CONCERTADAS + PEVS
C1638;Personas con discapacidad intelectual;CENTROS RESIDENCIALES;VIVIENDAS COMUNITARIAS;CASA HOGAR TOBIAS;11;047;Collado Villalba;CALLE;A0180;Marcelo Martín Bravo;16;28400;;Norte;Sierra;Collado Villalba;Collado Villalba Estación II;4497740;414339;91 851 47 79;asoctobias@yahoo.es;ASOCIACION TOBIAS;G81661225;PRIVADA SIN ÁNIMO DE LUCRO;PRIVADA CON PLAZAS CONCERTADAS + PEVS
C1651;Personas mayores;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES;NTRA. SRA. DE LA MONTAÑA, RESIDENCIA DE PERSONAS MAYORES;28;089;Moraleja de Enmedio;URB;00148;las Colinas;8;28950;MANCOMUNIDAD SUROESTE;Sur;Medio-Sur;Griñón;Griñón;4457967;425275;91 600 50 30;mhbarco@hotmail.com;RESIDENCIA ANCIANOS NUESTRA SEÑORA MONTAÑA II S.L.;B82392739;PRIVADA CON ÁNIMO DE LUCRO;PRIVADA + PEVS
C1653;Personas con discapacidad intelectual;CENTROS RESIDENCIALES;OTRAS RESIDENCIAS;RESIDENCIA BELISANA PARA DISMINUIDOS PSIQUICOS NO GRAVEMENTE AFECTADOS;48;079;Madrid;CALLE;00777;de Belisana;22;28043;;Madrid capital;Hortaleza;Hortaleza;Canillas;4478818;444619;"91 388 25 01;913882473";"gerencia@fundacionbetesda.org;fundacion@fundacionbetesda.org";FUNDACION BETESDA;G81111502;PRIVADA SIN ÁNIMO DE LUCRO;PRIVADA CON PLAZAS CONCERTADAS + PEVS
C1655;Personas con discapacidad intelectual;CENTROS OCUPACIONALES;CENTROS OCUPACIONALES GENÉRICOS;CENTRO OCUPACIONAL SAN FERNANDO;137;079;Madrid;AVDA;09464;de Rafaela Ybarra;75;28026;;Madrid capital;Usera;Usera;Pradolongo;4469995;439611;"91 469 03 91;914674221";dir.cosf@fundacionande.org;FUNDACION ANDE;G79812517;PRIVADA SIN ÁNIMO DE LUCRO;PRIVADA CON PLAZAS CONCERTADAS
C1658;Personas mayores;CENTROS RESIDENCIALES;RESIDENCIAS DE PERSONAS MAYORES DEPENDIENTES;LOS ENEBROS, RESIDENCIA PERSONAS MAYORES;38;079;Madrid;AVDA;06354;de la Victoria;120;28023;;Madrid capital;Moncloa-Aravaca;Moncloa;El Plantío;4480669;429415;682879562-913076422;administracion@residencialosenebros.es;GERIATRIA SOCIAL, S.L.;B81303281;PRIVADA CON ÁNIMO DE LUCRO;PRIVADA + PEVS
